./data
./data
./data
./data
./data
./data
./data
./data
./data
./data
==> load train data
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
==> load test data
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
rank: 9, epoch: 4.000, loss: 0.095, train_acc: 98.293, val_acc: 100.000, comp time: 1.120, epoch time: 1.214
rank: 5, epoch: 4.000, loss: 0.066, train_acc: 98.293, val_acc: 100.000, comp time: 1.148, epoch time: 1.242
rank: 1, epoch: 4.000, loss: 0.057, train_acc: 98.373, val_acc: 100.000, comp time: 1.122, epoch time: 1.216
rank: 2, epoch: 5.000, loss: 0.049, train_acc: 99.147, val_acc: 100.000, comp time: 1.103, epoch time: 1.191
rank: 3, epoch: 5.000, loss: 0.116, train_acc: 98.293, val_acc: 100.000, comp time: 1.127, epoch time: 1.218
rank: 7, epoch: 5.000, loss: 0.026, train_acc: 99.893, val_acc: 100.000, comp time: 1.117, epoch time: 1.209
rank: 6, epoch: 5.000, loss: 0.037, train_acc: 98.320, val_acc: 100.000, comp time: 1.124, epoch time: 1.212
rank: 8, epoch: 5.000, loss: 0.126, train_acc: 98.293, val_acc: 100.000, comp time: 1.112, epoch time: 1.202
rank: 4, epoch: 5.000, loss: 0.123, train_acc: 98.267, val_acc: 100.000, comp time: 1.121, epoch time: 1.211
rank: 0, epoch: 5.000, loss: 0.031, train_acc: 99.147, val_acc: 100.000, comp time: 1.118, epoch time: 1.209
rank: 9, epoch: 5.000, loss: 0.132, train_acc: 99.147, val_acc: 100.000, comp time: 1.118, epoch time: 1.211
rank: 1, epoch: 5.000, loss: 0.019, train_acc: 100.000, val_acc: 100.000, comp time: 1.123, epoch time: 1.219
rank: 5, epoch: 5.000, loss: 0.377, train_acc: 98.293, val_acc: 100.000, comp time: 1.148, epoch time: 1.243
rank: 2, epoch: 6.000, loss: 0.066, train_acc: 98.293, val_acc: 100.000, comp time: 1.102, epoch time: 1.190
rank: 3, epoch: 6.000, loss: 0.089, train_acc: 98.347, val_acc: 100.000, comp time: 1.128, epoch time: 1.220
rank: 7, epoch: 6.000, loss: 0.027, train_acc: 99.227, val_acc: 100.000, comp time: 1.118, epoch time: 1.210
rank: 6, epoch: 6.000, loss: 0.020, train_acc: 99.173, val_acc: 100.000, comp time: 1.125, epoch time: 1.214
rank: 8, epoch: 6.000, loss: 0.151, train_acc: 98.427, val_acc: 100.000, comp time: 1.111, epoch time: 1.200
rank: 4, epoch: 6.000, loss: 0.020, train_acc: 99.147, val_acc: 100.000, comp time: 1.117, epoch time: 1.206
rank: 0, epoch: 6.000, loss: 0.027, train_acc: 99.147, val_acc: 100.000, comp time: 1.123, epoch time: 1.211
rank: 9, epoch: 6.000, loss: 0.076, train_acc: 98.827, val_acc: 100.000, comp time: 1.120, epoch time: 1.212
rank: 1, epoch: 6.000, loss: 0.022, train_acc: 99.147, val_acc: 100.000, comp time: 1.126, epoch time: 1.219
rank: 5, epoch: 6.000, loss: 0.008, train_acc: 100.000, val_acc: 100.000, comp time: 1.154, epoch time: 1.248
rank: 2, epoch: 7.000, loss: 0.037, train_acc: 99.120, val_acc: 100.000, comp time: 1.102, epoch time: 1.190
rank: 3, epoch: 7.000, loss: 0.053, train_acc: 98.533, val_acc: 100.000, comp time: 1.133, epoch time: 1.226
rank: 7, epoch: 7.000, loss: 0.083, train_acc: 97.840, val_acc: 100.000, comp time: 1.115, epoch time: 1.207
rank: 6, epoch: 7.000, loss: 0.066, train_acc: 98.293, val_acc: 100.000, comp time: 1.132, epoch time: 1.223
rank: 8, epoch: 7.000, loss: 0.059, train_acc: 97.467, val_acc: 100.000, comp time: 1.111, epoch time: 1.199
rank: 4, epoch: 7.000, loss: 0.161, train_acc: 98.293, val_acc: 100.000, comp time: 1.122, epoch time: 1.212
rank: 0, epoch: 7.000, loss: 0.129, train_acc: 98.293, val_acc: 100.000, comp time: 1.122, epoch time: 1.212
rank: 9, epoch: 7.000, loss: 0.091, train_acc: 98.293, val_acc: 100.000, comp time: 1.121, epoch time: 1.213
rank: 1, epoch: 7.000, loss: 0.062, train_acc: 98.293, val_acc: 100.000, comp time: 1.126, epoch time: 1.221
rank: 5, epoch: 7.000, loss: 0.159, train_acc: 98.293, val_acc: 100.000, comp time: 1.151, epoch time: 1.246
rank: 2, epoch: 8.000, loss: 0.010, train_acc: 100.000, val_acc: 100.000, comp time: 1.103, epoch time: 1.191
rank: 3, epoch: 8.000, loss: 0.011, train_acc: 100.000, val_acc: 100.000, comp time: 1.125, epoch time: 1.219
rank: 7, epoch: 8.000, loss: 0.084, train_acc: 98.293, val_acc: 100.000, comp time: 1.114, epoch time: 1.210
rank: 6, epoch: 8.000, loss: 0.077, train_acc: 98.267, val_acc: 100.000, comp time: 1.128, epoch time: 1.219
rank: 8, epoch: 8.000, loss: 0.040, train_acc: 98.293, val_acc: 100.000, comp time: 1.110, epoch time: 1.198
rank: 4, epoch: 8.000, loss: 0.019, train_acc: 100.000, val_acc: 100.000, comp time: 1.120, epoch time: 1.209
rank: 0, epoch: 8.000, loss: 0.133, train_acc: 99.147, val_acc: 100.000, comp time: 1.121, epoch time: 1.210
rank: 9, epoch: 8.000, loss: 0.147, train_acc: 98.293, val_acc: 100.000, comp time: 1.120, epoch time: 1.213
rank: 1, epoch: 8.000, loss: 0.012, train_acc: 100.000, val_acc: 100.000, comp time: 1.126, epoch time: 1.217
rank: 5, epoch: 8.000, loss: 0.033, train_acc: 98.453, val_acc: 100.000, comp time: 1.152, epoch time: 1.246
rank: 2, epoch: 9.000, loss: 0.077, train_acc: 97.600, val_acc: 100.000, comp time: 1.104, epoch time: 1.193
rank: 6, epoch: 9.000, loss: 0.067, train_acc: 98.293, val_acc: 100.000, comp time: 1.128, epoch time: 1.219
