./data
./data
./data
./data
./data
./data
./data
./data
./data
./data
==> load train data
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
==> load test data
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
rank: 7, epoch: 0.000, loss: 0.101, train_acc: 98.293, val_acc: 100.000, comp time: 1.366, epoch time: 1.450
rank: 3, epoch: 0.000, loss: 0.086, train_acc: 97.227, val_acc: 100.000, comp time: 1.363, epoch time: 1.446
rank: 9, epoch: 0.000, loss: 0.068, train_acc: 96.773, val_acc: 100.000, comp time: 1.387, epoch time: 1.471
rank: 5, epoch: 0.000, loss: 0.080, train_acc: 97.147, val_acc: 46.880, comp time: 1.367, epoch time: 1.451
rank: 1, epoch: 0.000, loss: 0.112, train_acc: 97.120, val_acc: 100.000, comp time: 1.407, epoch time: 1.492
rank: 6, epoch: 0.000, loss: 0.113, train_acc: 98.267, val_acc: 100.000, comp time: 1.376, epoch time: 1.467
rank: 2, epoch: 0.000, loss: 0.062, train_acc: 97.787, val_acc: 100.000, comp time: 1.374, epoch time: 1.467
rank: 8, epoch: 0.000, loss: 0.127, train_acc: 98.293, val_acc: 100.000, comp time: 1.399, epoch time: 1.489
rank: 4, epoch: 0.000, loss: 0.142, train_acc: 97.413, val_acc: 100.000, comp time: 1.426, epoch time: 1.517
rank: 0, epoch: 0.000, loss: 0.085, train_acc: 96.773, val_acc: 100.000, comp time: 1.432, epoch time: 1.523
rank: 7, epoch: 1.000, loss: 0.095, train_acc: 98.987, val_acc: 100.000, comp time: 1.139, epoch time: 1.221
rank: 3, epoch: 1.000, loss: 0.194, train_acc: 96.587, val_acc: 100.000, comp time: 1.137, epoch time: 1.217
rank: 9, epoch: 1.000, loss: 0.106, train_acc: 97.440, val_acc: 100.000, comp time: 1.141, epoch time: 1.222
rank: 1, epoch: 1.000, loss: 0.235, train_acc: 97.200, val_acc: 100.000, comp time: 1.152, epoch time: 1.232
rank: 5, epoch: 1.000, loss: 0.072, train_acc: 96.773, val_acc: 0.000, comp time: 1.113, epoch time: 1.195
rank: 6, epoch: 1.000, loss: 0.551, train_acc: 98.293, val_acc: 100.000, comp time: 1.146, epoch time: 1.230
rank: 2, epoch: 1.000, loss: 0.527, train_acc: 96.533, val_acc: 100.000, comp time: 1.132, epoch time: 1.215
rank: 8, epoch: 1.000, loss: 0.490, train_acc: 98.293, val_acc: 100.000, comp time: 1.138, epoch time: 1.221
